Distance, Unit, Target, Score, Bearing
10, metres, 122, 2, 000
10, metres, 122, 2, 355
10, metres, 122, 3, 000
10, metres, 122, 4, 355
10, metres, 122, 4, 355
15, metres, 122, 1.5, 340
15, metres, 122, 2, 015
15, metres, 122, 2.5, 000
15, metres, 122, 2.5, 005
15, metres, 122, 3, 000
15, metres, 122, 3, 005
20, metres, 122, 2.5, 355
20, metres, 122, 3, 355
20, metres, 122, 4, 355
20, metres, 122, 4.5, 000
20, metres, 122, 5, 030
20, metres, 122, 5, 355
25, metres, 122, 5.5, 030
25, metres, 122, 7.5, 005
25, metres, 122, 7.5, 060
25, metres, 122, 7.5, 300
25, metres, 122, 8.5, 315
25, metres, 122, 9.5, 315
30, metres, 122, 5, 210
30, metres, 122, 6, 205
30, metres, 122, 6, 215
30, metres, 122, 7, 180
30, metres, 122, 7, 210
30, mtres,  122, 7, 215
